Simulation number,run_time,ALGORITHM,EARLY_STOP,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,DPW_EXPLORATION,DPW_ALPHA,MIN_SET_SIZE,DPW_PROBABILISTIC,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
8656603,167,NAIVE,True,500000,1000,0.998,8,0.4,6,True,1284533,0,1284533
8656604,17,ProgressiveWideningSolver,True,500000,1000,0.998,4,0.2,6,True,1320762,0,1320762
8656605,31,ProgressiveWideningSolver,True,500000,1000,0.998,8,0.2,6,True,1291557,0,1291557
8656606,54,ProgressiveWideningSolver,True,500000,1000,0.998,4,0.4,6,True,1279235,0,1279235
8656607,91,ProgressiveWideningSolver,True,500000,1000,0.998,8,0.4,6,True,1278046,0,1278046
8656608,49,DPWSolver,True,500000,1000,0.998,4,0.2,11,True,1256013,0,1256013
8656609,57,DPWSolver,True,500000,1000,0.998,8,0.2,11,True,1260718,0,1260718
8656610,66,DPWSolver,True,500000,1000,0.998,4,0.4,11,True,1277383,0,1277383
8656611,97,DPWSolver,True,500000,1000,0.998,8,0.4,11,True,1256478,0,1256478
8656612,166,NAIVE,True,500000,1000,0.998,8,0.4,11,True,1274961,0,1274961
8656613,17,ProgressiveWideningSolver,True,500000,1000,0.998,4,0.2,11,True,1278658,0,1278658
8656614,30,ProgressiveWideningSolver,True,500000,1000,0.998,8,0.2,11,True,1254810,0,1254810
8656615,54,ProgressiveWideningSolver,True,500000,1000,0.998,4,0.4,11,True,1291195,0,1291195
8656616,88,ProgressiveWideningSolver,True,500000,1000,0.998,8,0.4,11,True,1285102,0,1285102
8656617,25,DPWSolver,True,750000,500,0.9998,4,0.2,6,True,1251719,0,1251719
8656618,31,DPWSolver,True,750000,500,0.9998,8,0.2,6,True,1252750,0,1252750
8656619,30,DPWSolver,True,750000,500,0.9998,4,0.4,6,True,1286531,0,1286531
8656620,36,DPWSolver,True,750000,500,0.9998,8,0.4,6,True,1277766,0,1277766
8656621,90,NAIVE,True,750000,500,0.9998,8,0.4,6,True,1344711,0,1344711
8656622,18,ProgressiveWideningSolver,True,750000,500,0.9998,4,0.2,6,True,1326780,0,1326780
